path,relative_path,station,year,camera,timestamp,folder_label,filename_label,visual_label,visual_confidence,score_1x,score_10x,reference_1x,reference_10x,scale_to_1x,scale_to_10x,inliers_1x,inliers_10x,status,reason
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_10-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_10-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-10 10:00:00,10X,10X,10X,1.0,0.0,0.790323,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_10-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_11-10_25-K1-10X.jpeg,nan,0.9997341156201448,0,49,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_11-10_25-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_11-10_25-K1-10X.jpeg,02.03,2015,K1,2015-02-11 10:25:00,10X,10X,10X,1.0,0.0,0.910124,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_12-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_11-10_30-K1-10X.jpeg,nan,0.9729654276079449,0,672,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_11-10_30-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_11-10_30-K1-10X.jpeg,02.03,2015,K1,2015-02-11 10:30:00,10X,10X,10X,1.0,0.0,0.910863,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_12-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_11-10_25-K1-10X.jpeg,nan,1.0278521187878253,0,683,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_13-09_30-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_13-09_30-K1-10X.jpeg,02.03,2015,K1,2015-02-13 09:30:00,10X,10X,10X,1.0,0.0,0.830336,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_13-09_30-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_14-11_00-K1-10X.jpeg,nan,0.9988070076273851,0,101,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_14-11_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_14-11_00-K1-10X.jpeg,02.03,2015,K1,2015-02-14 11:00:00,10X,10X,10X,1.0,0.0,0.950811,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_14-11_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_15-11_00-K1-10X.jpeg,nan,1.0001908921781206,0,193,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_15-11_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_15-11_00-K1-10X.jpeg,02.03,2015,K1,2015-02-15 11:00:00,10X,10X,10X,1.0,0.0,0.910804,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_15-11_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_14-11_00-K1-10X.jpeg,nan,0.9998024193632506,0,191,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_17-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_17-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-17 10:00:00,10X,10X,10X,1.0,0.0,0.832226,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_17-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_15-11_00-K1-10X.jpeg,nan,0.9989108193642404,0,59,CONSISTENT,"folder, filename, and visual evidence agree"
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_19-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_19-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-19 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_19-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_20-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_20-10_00-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_20-10_00-K1-10X.jpeg,02.03,2015,K1,2015-02-20 10:00:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_20-10_00-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_19-10_00-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_22-10_06-K1-10X.jpeg,02.03\2015\K1\10X\02_03-2015_02_22-10_06-K1-10X.jpeg,02.03,2015,K1,2015-02-22 10:06:00,10X,10X,,0.0,0.0,0.0,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\1X\02_03-2015_02_22-10_06-K1-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\02.03\2015\K1\10X\02_03-2015_02_24-10_07-K1-10X.jpeg,nan,nan,0,0,VISUAL_INCONCLUSIVE,insufficient or conflicting registration evidence
