Folder,Filename,FullPath,IssueType,Details,Width,Height,MeanBrightness,StdDev,LaplacianVar
06.02\2017\K2\10X,06_02-2017_01_25-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_01_25-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 8.03),1920,1080,130.10,7.03,8.03
06.02\2017\K2\10X,06_02-2017_01_30-10_15-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_01_30-10_15-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 7.81),1920,1080,130.61,6.93,7.81
06.02\2017\K2\10X,06_02-2017_02_04-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_02_04-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 8.31),1920,1080,129.21,7.06,8.31
06.02\2017\K2\10X,06_02-2017_02_06-11_32-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_02_06-11_32-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 43.36),1920,1080,130.16,7.14,43.36
06.02\2017\K2\10X,06_02-2017_02_07-11_28-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_02_07-11_28-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 13.93),1920,1080,128.55,5.70,13.93
06.02\2017\K2\10X,06_02-2017_02_08-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_02_08-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 8.73),1920,1080,126.99,7.12,8.73
06.02\2017\K2\10X,06_02-2017_02_09-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_02_09-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 15.43),1920,1080,125.02,8.30,15.43
06.02\2017\K2\10X,06_02-2017_02_27-10_55-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_02_27-10_55-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 18.28),1920,1080,125.36,38.21,18.28
06.02\2017\K2\10X,06_02-2017_03_10-10_00-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_03_10-10_00-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 6.85),1920,1080,134.79,5.61,6.85
06.02\2017\K2\10X,06_02-2017_03_17-10_24-K2-10X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\10X\06_02-2017_03_17-10_24-K2-10X.jpeg,BLURRED,Very blurry (Laplacian variance: 22.96),1920,1080,133.11,8.70,22.96
06.02\2017\K2\1X,06_02-2017_01_10-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_10-10_00-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 4.03),1920,1080,132.69,4.03,0.00
06.02\2017\K2\1X,06_02-2017_01_11-10_40-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_11-10_40-K2-1X.jpeg,BLURRED,Very blurry (Laplacian variance: 39.56),1920,1080,145.14,12.78,39.56
06.02\2017\K2\1X,06_02-2017_01_13-10_42-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_13-10_42-K2-1X.jpeg,BLURRED,Very blurry (Laplacian variance: 28.28),1920,1080,135.20,23.11,28.28
06.02\2017\K2\1X,06_02-2017_01_14-11_02-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_14-11_02-K2-1X.jpeg,BLURRED,Very blurry (Laplacian variance: 7.62),1920,1080,138.28,5.05,7.62
06.02\2017\K2\1X,06_02-2017_01_18-10_29-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_18-10_29-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 1.62),1920,1080,127.48,1.62,0.00
06.02\2017\K2\1X,06_02-2017_01_19-10_52-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_19-10_52-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 1.67),1920,1080,135.59,1.67,0.00
06.02\2017\K2\1X,06_02-2017_01_21-10_00-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_21-10_00-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 4.66),1920,1080,138.53,4.66,0.00
06.02\2017\K2\1X,06_02-2017_01_22-11_15-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_22-11_15-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 4.47),1920,1080,132.80,4.47,0.00
06.02\2017\K2\1X,06_02-2017_01_23-10_23-K2-1X.jpeg,C:\Users\ASUS\Desktop\Ders\blg521\data\06.02\2017\K2\1X\06_02-2017_01_23-10_23-K2-1X.jpeg,LOW_CONTRAST,Extremely low contrast (std: 4.49),1920,1080,134.62,4.49,0.00
