Date,Filename,ExG
2014-01-06,06_01-2014_01_06-10_12-K1-10X.jpeg,0.00798677335539607
2014-01-07,06_01-2014_01_07-10_13-K1-10X.jpeg,0.01882644394223576
2014-01-08,06_01-2014_01_08-10_13-K1-10X.jpeg,0.014535808228871312
2014-01-09,06_01-2014_01_09-09_52-K1-10X.jpeg,0.010404578817177833
2014-01-10,06_01-2014_01_10-09_53-K1-10X.jpeg,0.013850035351032717
2014-01-11,06_01-2014_01_11-09_53-K1-10X.jpeg,0.018409897866368617
2014-01-12,06_01-2014_01_12-09_55-K1-10X.jpeg,0.04235647717097066
2014-01-13,06_01-2014_01_13-09_55-K1-10X.jpeg,0.04147946169857854
2014-01-14,06_01-2014_01_14-09_56-K1-10X.jpeg,0.0026846745210192006
2014-01-15,06_01-2014_01_15-10_16-K1-10X.jpeg,0.03959400195006996
2014-01-16,06_01-2014_01_16-09_56-K1-10X.jpeg,0.04680489098668844
2014-01-17,06_01-2014_01_17-09_58-K1-10X.jpeg,0.047729089068391475
2014-01-18,06_01-2014_01_18-09_57-K1-10X.jpeg,0.037687794388364046
2014-01-19,06_01-2014_01_19-09_58-K1-10X.jpeg,0.04970565105472485
2014-01-20,06_01-2014_01_20-10_06-K1-10X.jpeg,0.045803802335273994
2014-01-21,06_01-2014_01_21-10_00-K1-10X.jpeg,0.037263694944796616
2014-01-23,06_01-2014_01_23-10_04-K1-10X.jpeg,0.01678102101343463
2014-01-27,06_01-2014_01_27-09_45-K1-10X.jpeg,0.04040971659662423
2014-01-28,06_01-2014_01_28-09_56-K1-10X.jpeg,0.04909767423313695
2014-01-29,06_01-2014_01_29-09_47-K1-10X.jpeg,0.032606707183833
2014-01-30,06_01-2014_01_30-10_13-K1-10X.jpeg,0.03558367933989345
2014-01-31,06_01-2014_01_31-10_07-K1-10X.jpeg,0.035247006715842244
2014-02-01,06_01-2014_02_01-10_09-K1-10X.jpeg,0.028997198592732473
2014-02-02,06_01-2014_02_02-10_10-K1-10X.jpeg,0.026984922932178863
2014-02-03,06_01-2014_02_03-10_41-K1-10X.jpeg,0.025813369778109087
2014-02-04,06_01-2014_02_04-10_10-K1-10X.jpeg,0.03295692892822654
2014-02-11,06_01-2014_02_11-10_01-K1-10X.jpeg,0.042095032107854
2014-02-12,06_01-2014_02_12-10_12-K1-10X.jpeg,0.037057719091363836
2014-02-13,06_01-2014_02_13-10_14-K1-10X.jpeg,0.030721814881231786
2014-02-14,06_01-2014_02_14-10_13-K1-10X.jpeg,0.04431430949489058
2014-02-15,06_01-2014_02_15-10_14-K1-10X.jpeg,0.037227666489671754
2014-02-16,06_01-2014_02_16-10_12-K1-10X.jpeg,0.03778854513141332
2014-02-17,06_01-2014_02_17-10_14-K1-10X.jpeg,0.046992733654832156
2014-02-18,06_01-2014_02_18-09_48-K1-10X.jpeg,0.04052767494635211
2014-02-19,06_01-2014_02_19-09_48-K1-10X.jpeg,0.03622272232523226
2014-02-20,06_01-2014_02_20-09_47-K1-10X.jpeg,0.03590088570532492
2014-02-21,06_01-2014_02_21-09_48-K1-10X.jpeg,0.0407170578681009
2014-02-22,06_01-2014_02_22-11_40-K1-10X.jpeg,0.02736776349900672
2014-02-23,06_01-2014_02_23-09_50-K1-10X.jpeg,0.043484199018869144
2014-02-24,06_01-2014_02_24-09_50-K1-10X.jpeg,0.042400317391176334
2014-02-25,06_01-2014_02_25-09_49-K1-10X.jpeg,0.04751631735310895
2014-02-26,06_01-2014_02_26-09_51-K1-10X.jpeg,0.03812409321809218
2014-02-27,06_01-2014_02_27-09_52-K1-10X.jpeg,0.03364746072702965
2014-03-01,06_01-2014_03_01-10_06-K1-10X.jpeg,0.03718498708731499
2014-03-04,06_01-2014_03_04-09_52-K1-10X.jpeg,0.035726660164299755
2014-03-05,06_01-2014_03_05-09_52-K1-10X.jpeg,0.0375557343956296
2014-03-06,06_01-2014_03_06-10_13-K1-10X.jpeg,0.04579241351576331
2014-03-07,06_01-2014_03_07-10_13-K1-10X.jpeg,0.039710489236210934
2014-03-08,06_01-2014_03_08-10_00-K1-10X.jpeg,0.039877367191711824
2014-03-09,06_01-2014_03_09-10_02-K1-10X.jpeg,0.05545016877310599
2014-03-10,06_01-2014_03_10-10_04-K1-10X.jpeg,0.05262352865825991
2014-03-11,06_01-2014_03_11-10_02-K1-10X.jpeg,0.05202318292766387
2014-03-13,06_01-2014_03_13-10_04-K1-10X.jpeg,0.045676043227079334
2014-03-25,06_01-2014_03_25-09_50-K1-10X.jpeg,0.04142755129540712
2014-03-26,06_01-2014_03_26-09_52-K1-10X.jpeg,0.0462257345720784
2014-03-29,06_01-2014_03_29-09_55-K1-10X.jpeg,0.04434833970744605
2014-03-31,06_01-2014_03_31-09_51-K1-10X.jpeg,0.052104972479070796
2014-04-03,06_01-2014_04_03-09_59-K1-10X.jpeg,0.06394921794139373
2014-04-04,06_01-2014_04_04-09_58-K1-10X.jpeg,0.06998333475104618
2014-04-05,06_01-2014_04_05-09_58-K1-10X.jpeg,0.06712089848985821
2014-04-06,06_01-2014_04_06-09_59-K1-10X.jpeg,0.0752459970938327
2014-04-07,06_01-2014_04_07-09_47-K1-10X.jpeg,0.08360134993111938
2014-04-08,06_01-2014_04_08-10_02-K1-10X.jpeg,0.08072988850133123
2014-04-09,06_01-2014_04_09-10_09-K1-10X.jpeg,0.07448655662369263
2014-04-10,06_01-2014_04_10-10_09-K1-10X.jpeg,0.075345268499812
2014-04-11,06_01-2014_04_11-10_08-K1-10X.jpeg,0.07666890422120862
2014-04-12,06_01-2014_04_12-10_11-K1-10X.jpeg,0.10828273345834352
2014-04-13,06_01-2014_04_13-10_10-K1-10X.jpeg,0.10052183626004044
2014-04-14,06_01-2014_04_14-09_39-K1-10X.jpeg,0.12303625382873215
2014-04-15,06_01-2014_04_15-10_10-K1-10X.jpeg,0.10722664107688758
2014-04-16,06_01-2014_04_16-10_12-K1-10X.jpeg,0.11792826876330978
2014-04-17,06_01-2014_04_17-10_00-K1-10X.jpeg,0.15262798215069928
2014-04-18,06_01-2014_04_18-10_00-K1-10X.jpeg,0.14206600758652105
2014-04-19,06_01-2014_04_19-10_00-K1-10X.jpeg,0.1494947691736206
2014-04-20,06_01-2014_04_20-10_00-K1-10X.jpeg,0.15291152688222676
2014-04-21,06_01-2014_04_21-10_00-K1-10X.jpeg,0.10791194964474662
2014-04-22,06_01-2014_04_22-10_00-K1-10X.jpeg,0.20211463938952906
2014-04-23,06_01-2014_04_23-10_00-K1-10X.jpeg,0.17240309486096578
2014-04-24,06_01-2014_04_24-10_00-K1-10X.jpeg,0.177951708855913
2014-04-25,06_01-2014_04_25-10_00-K1-10X.jpeg,0.20972935707934323
2014-04-26,06_01-2014_04_26-09_00-K1-10X.jpeg,0.21401338432952133
2014-04-27,06_01-2014_04_27-10_00-K1-10X.jpeg,0.2217961907377004
2014-05-03,06_01-2014_05_03-10_00-K1-10X.jpeg,0.2704222239038143
2014-05-05,06_01-2014_05_05-10_00-K1-10X.jpeg,0.1428451476423398
2014-05-06,06_01-2014_05_06-10_00-K1-10X.jpeg,0.2822167132031985
2014-05-10,06_01-2014_05_10-10_00-K1-10X.jpeg,0.3041328524448157
2014-05-18,06_01-2014_05_18-10_00-K1-10X.jpeg,0.2265692404272037
2014-05-19,06_01-2014_05_19-10_00-K1-10X.jpeg,0.24165768264598364
2014-05-20,06_01-2014_05_20-10_00-K1-10X.jpeg,0.2476771987674422
2014-05-21,06_01-2014_05_21-10_00-K1-10X.jpeg,0.22580959564122247
2014-05-22,06_01-2014_05_22-10_00-K1-10X.jpeg,0.286279257354964
2014-05-23,06_01-2014_05_23-10_00-K1-10X.jpeg,0.2229793678202503
2014-05-24,06_01-2014_05_24-10_00-K1-10X.jpeg,0.294522857468424
2014-05-25,06_01-2014_05_25-10_00-K1-10X.jpeg,0.2627622963941246
2014-05-26,06_01-2014_05_26-10_00-K1-10X.jpeg,0.26007924333108867
2014-05-27,06_01-2014_05_27-10_00-K1-10X.jpeg,0.24165031049267113
2014-05-28,06_01-2014_05_28-10_00-K1-10X.jpeg,0.22210925666534803
2014-05-29,06_01-2014_05_29-10_00-K1-10X.jpeg,0.22966785035797554
2014-05-30,06_01-2014_05_30-10_00-K1-10X.jpeg,0.25644244991147885
2014-05-31,06_01-2014_05_31-10_00-K1-10X.jpeg,0.23375201253174596
2014-06-02,06_01-2014_06_02-10_00-K1-10X.jpeg,0.23529588227691453
2014-06-03,06_01-2014_06_03-10_00-K1-10X.jpeg,0.2058800717427811
2014-06-04,06_01-2014_06_04-10_00-K1-10X.jpeg,0.24257382216978074
2014-06-05,06_01-2014_06_05-10_00-K1-10X.jpeg,0.21137779238154608
2014-06-06,06_01-2014_06_06-10_00-K1-10X.jpeg,0.24318254030801684
2014-06-07,06_01-2014_06_07-10_00-K1-10X.jpeg,0.23842309242181015
2014-06-09,06_01-2014_06_09-11_30-K1-10X.jpeg,0.21059152881730098
2014-06-10,06_01-2014_06_10-10_00-K1-10X.jpeg,0.22034272083111867
2014-06-11,06_01-2014_06_11-10_00-K1-10X.jpeg,0.1956197536909466
2014-06-12,06_01-2014_06_12-10_00-K1-10X.jpeg,0.1936751465764494
2014-06-13,06_01-2014_06_13-10_00-K1-10X.jpeg,0.19438895564977576
2014-06-14,06_01-2014_06_14-10_00-K1-10X.jpeg,0.1956386834052406
2014-06-15,06_01-2014_06_15-10_00-K1-10X.jpeg,0.19864804315609583
2014-06-16,06_01-2014_06_16-10_00-K1-10X.jpeg,0.20322361902731872
2014-06-17,06_01-2014_06_17-10_00-K1-10X.jpeg,0.19528137458734507
2014-06-18,06_01-2014_06_18-10_00-K1-10X.jpeg,0.19175513059092242
2014-06-19,06_01-2014_06_19-10_00-K1-10X.jpeg,0.16924999700764737
2014-06-20,06_01-2014_06_20-10_00-K1-10X.jpeg,0.17706138747451372
2014-06-21,06_01-2014_06_21-10_00-K1-10X.jpeg,0.15742518727930924
2014-06-22,06_01-2014_06_22-10_00-K1-10X.jpeg,0.15850310886079455
2014-06-23,06_01-2014_06_23-10_30-K1-10X.jpeg,0.1435101201056057
2014-06-24,06_01-2014_06_24-10_00-K1-10X.jpeg,0.13898648685696807
2014-06-25,06_01-2014_06_25-10_00-K1-10X.jpeg,0.12683653214148127
2014-06-26,06_01-2014_06_26-10_00-K1-10X.jpeg,0.11484045908639143
2014-06-27,06_01-2014_06_27-10_00-K1-10X.jpeg,0.08941580369378957
2014-06-28,06_01-2014_06_28-10_00-K1-10X.jpeg,0.08361706862096784
2014-06-29,06_01-2014_06_29-10_00-K1-10X.jpeg,0.06878378716274211
2014-06-30,06_01-2014_06_30-10_00-K1-10X.jpeg,0.06548821564778091
2014-07-01,06_01-2014_07_01-10_00-K1-10X.jpeg,0.06334117538536338
2014-07-02,06_01-2014_07_02-10_00-K1-10X.jpeg,0.058798505714784566
2014-07-03,06_01-2014_07_03-10_00-K1-10X.jpeg,0.05916147849742174
2014-07-04,06_01-2014_07_04-10_00-K1-10X.jpeg,0.05735220219891285
2014-07-05,06_01-2014_07_05-10_00-K1-10X.jpeg,0.05416229639223365
2014-07-06,06_01-2014_07_06-10_00-K1-10X.jpeg,0.05354962263826793
2014-07-07,06_01-2014_07_07-10_00-K1-10X.jpeg,0.05107473923016871
2014-07-08,06_01-2014_07_08-10_00-K1-10X.jpeg,0.05702826472671097
2014-07-09,06_01-2014_07_09-10_30-K1-10X.jpeg,0.05288472313892631
2014-07-10,06_01-2014_07_10-10_00-K1-10X.jpeg,0.05936478356767748
2014-07-11,06_01-2014_07_11-10_00-K1-10X.jpeg,0.055344296780983765
2014-07-12,06_01-2014_07_12-10_00-K1-10X.jpeg,0.05956301523164949
2014-07-13,06_01-2014_07_13-10_00-K1-10X.jpeg,0.056284411295368174
2014-07-14,06_01-2014_07_14-10_00-K1-10X.jpeg,0.055769626872068115
2014-07-15,06_01-2014_07_15-10_00-K1-10X.jpeg,0.05329454545842758
2014-07-16,06_01-2014_07_16-10_00-K1-10X.jpeg,0.055574023751401865
2014-07-17,06_01-2014_07_17-10_00-K1-10X.jpeg,0.05953979376624925
2014-07-18,06_01-2014_07_18-10_00-K1-10X.jpeg,0.05948752641468413
2014-07-19,06_01-2014_07_19-10_00-K1-10X.jpeg,0.05542500543335929
2014-07-20,06_01-2014_07_20-10_00-K1-10X.jpeg,0.06055502009149921
2014-07-21,06_01-2014_07_21-10_00-K1-10X.jpeg,0.059346374702282476
2014-07-22,06_01-2014_07_22-10_00-K1-10X.jpeg,0.05812926382316527
2014-07-23,06_01-2014_07_23-10_00-K1-10X.jpeg,0.050807883436853205
2014-07-24,06_01-2014_07_24-10_00-K1-10X.jpeg,0.06063483004527394
2014-07-25,06_01-2014_07_25-10_00-K1-10X.jpeg,0.0445075775644674
2014-07-26,06_01-2014_07_26-10_00-K1-10X.jpeg,0.0481657729691194
2014-07-27,06_01-2014_07_27-10_00-K1-10X.jpeg,0.0480208046088581
2014-07-28,06_01-2014_07_28-10_00-K1-10X.jpeg,0.051781105220091536
2014-07-31,06_01-2014_07_31-10_00-K1-10X.jpeg,0.045416949427695766
2014-08-01,06_01-2014_08_01-10_00-K1-10X.jpeg,0.06899089424338994
2014-08-22,06_01-2014_08_22-10_00-K1-10X.jpeg,0.04837521294528581
2014-08-25,06_01-2014_08_25-12_00-K1-10X.jpeg,0.04180685008806062
2014-08-26,06_01-2014_08_26-11_01-K1-10X.jpeg,0.0421067942687889
2014-08-28,06_01-2014_08_28-10_00-K1-10X.jpeg,0.050944615132838725
2014-08-29,06_01-2014_08_29-10_00-K1-10X.jpeg,0.05186437265198765
2014-08-30,06_01-2014_08_30-10_00-K1-10X.jpeg,0.047395815316329144
2014-08-31,06_01-2014_08_31-10_00-K1-10X.jpeg,0.042990603538242245
2014-09-01,06_01-2014_09_01-10_00-K1-10X.jpeg,0.046118378301570395
2014-09-02,06_01-2014_09_02-10_00-K1-10X.jpeg,0.04607413201338139
2014-09-03,06_01-2014_09_03-10_00-K1-10X.jpeg,0.04327873596986734
2014-09-04,06_01-2014_09_04-10_00-K1-10X.jpeg,0.04704696920356607
2014-09-05,06_01-2014_09_05-10_00-K1-10X.jpeg,0.044928763105820904
2014-09-06,06_01-2014_09_06-10_00-K1-10X.jpeg,0.046015361781404834
2014-09-07,06_01-2014_09_07-10_00-K1-10X.jpeg,0.048845246157906114
2014-09-08,06_01-2014_09_08-10_00-K1-10X.jpeg,0.030699896108303683
2014-09-09,06_01-2014_09_09-09_00-K1-10X.jpeg,0.043673467939426426
2014-09-14,06_01-2014_09_14-11_49-K1-10X.jpeg,0.04285592286458895
2014-09-15,06_01-2014_09_15-10_30-K1-10X.jpeg,0.04488219732307786
2014-09-16,06_01-2014_09_16-10_00-K1-10X.jpeg,0.050402708398554805
2014-09-17,06_01-2014_09_17-10_02-K1-10X.jpeg,0.026949255247813296
2014-09-19,06_01-2014_09_19-10_00-K1-10X.jpeg,0.03466312377221985
2014-09-20,06_01-2014_09_20-10_00-K1-10X.jpeg,0.030163839376939373
2014-09-22,06_01-2014_09_22-10_00-K1-10X.jpeg,0.04028587645812648
2014-09-23,06_01-2014_09_23-10_00-K1-10X.jpeg,0.03841081410064682
2014-09-24,06_01-2014_09_24-10_00-K1-10X.jpeg,0.03702489546817965
2014-09-25,06_01-2014_09_25-10_00-K1-10X.jpeg,0.038036017839855385
2014-09-26,06_01-2014_09_26-10_00-K1-10X.jpeg,0.038355687260213406
2014-09-27,06_01-2014_09_27-10_00-K1-10X.jpeg,0.036481363029868805
2014-09-29,06_01-2014_09_29-10_00-K1-10X.jpeg,0.027987798273099652
2014-09-30,06_01-2014_09_30-10_00-K1-10X.jpeg,0.03658831184847237
2014-10-04,06_01-2014_10_04-11_18-K1-10X.jpeg,0.034554523377460206
2014-10-06,06_01-2014_10_06-10_00-K1-10X.jpeg,0.03447730956124733
2014-10-08,06_01-2014_10_08-10_30-K1-10X.jpeg,0.0398807050631838
2014-10-10,06_01-2014_10_10-08_30-K1-10X.jpeg,0.0407688248915782
2014-10-11,06_01-2014_10_11-10_00-K1-10X.jpeg,0.04330286449034416
2014-10-12,06_01-2014_10_12-10_00-K1-10X.jpeg,0.04228821384469177
2014-10-13,06_01-2014_10_13-10_00-K1-10X.jpeg,0.041114621485907936
2014-10-20,06_01-2014_10_20-10_00-K1-10X.jpeg,0.0463751852386753
2014-10-21,06_01-2014_10_21-10_00-K1-10X.jpeg,0.04217795591969603
2014-10-22,06_01-2014_10_22-10_00-K1-10X.jpeg,0.04951876060672272
2014-10-24,06_01-2014_10_24-10_00-K1-10X.jpeg,0.04737873607599727
2014-10-25,06_01-2014_10_25-10_00-K1-10X.jpeg,0.04645213604780478
2014-10-26,06_01-2014_10_26-10_00-K1-10X.jpeg,0.05512041909165895
2014-10-27,06_01-2014_10_27-10_00-K1-10X.jpeg,0.05742861183552771
2014-10-28,06_01-2014_10_28-10_00-K1-10X.jpeg,0.05958691663154359
2014-10-29,06_01-2014_10_29-10_00-K1-10X.jpeg,0.06617216315626694
2014-10-30,06_01-2014_10_30-10_00-K1-10X.jpeg,0.06869150378493186
2014-10-31,06_01-2014_10_31-10_00-K1-10X.jpeg,0.07202615440183682
2014-11-01,06_01-2014_11_01-10_00-K1-10X.jpeg,0.07088299605956376
2014-11-02,06_01-2014_11_02-10_00-K1-10X.jpeg,0.06795172757724635
2014-11-04,06_01-2014_11_04-10_00-K1-10X.jpeg,0.06878990616566225
2014-12-07,06_01-2014_12_07-10_00-K1-10X.jpeg,-0.0492341416293906
2014-12-08,06_01-2014_12_08-10_00-K1-10X.jpeg,-0.028670880818463564
2014-12-09,06_01-2014_12_09-10_00-K1-10X.jpeg,-0.02850861889111218
2014-12-10,06_01-2014_12_10-10_00-K1-10X.jpeg,-0.0035211705416683266
2014-12-11,06_01-2014_12_11-10_00-K1-10X.jpeg,-0.009307002108655035
2014-12-12,06_01-2014_12_12-10_00-K1-10X.jpeg,-0.0378295285666464
2014-12-13,06_01-2014_12_13-10_00-K1-10X.jpeg,-0.02464849793780561
2014-12-14,06_01-2014_12_14-10_00-K1-10X.jpeg,-0.025661529102454526
2014-12-15,06_01-2014_12_15-10_00-K1-10X.jpeg,-0.04652173412758137
2014-12-16,06_01-2014_12_16-10_00-K1-10X.jpeg,-0.01586480463164979
2014-12-17,06_01-2014_12_17-10_00-K1-10X.jpeg,-0.04192575691925807
2014-12-18,06_01-2014_12_18-10_00-K1-10X.jpeg,-0.04625289646043412
2014-12-19,06_01-2014_12_19-10_00-K1-10X.jpeg,-0.05094740342628239
2014-12-20,06_01-2014_12_20-10_00-K1-10X.jpeg,-0.015308150825377047
2014-12-21,06_01-2014_12_21-10_00-K1-10X.jpeg,-0.03720378449606741
2014-12-22,06_01-2014_12_22-10_00-K1-10X.jpeg,-0.01964102263205126
2014-12-23,06_01-2014_12_23-10_00-K1-10X.jpeg,-0.008366998269351375
2014-12-24,06_01-2014_12_24-10_00-K1-10X.jpeg,-0.006462233476204322
2014-12-25,06_01-2014_12_25-10_00-K1-10X.jpeg,-0.01002040010861624
2014-12-26,06_01-2014_12_26-10_00-K1-10X.jpeg,-0.012862598665118755
2014-12-27,06_01-2014_12_27-10_00-K1-10X.jpeg,-0.022609018995220054
2014-12-28,06_01-2014_12_28-10_00-K1-10X.jpeg,-0.010686940305317808
2014-12-29,06_01-2014_12_29-10_00-K1-10X.jpeg,-0.010008938294216504
2014-12-30,06_01-2014_12_30-10_00-K1-10X.jpeg,-0.006946970804699507
2014-12-31,06_01-2014_12_31-10_00-K1-10X.jpeg,-0.05306729894664168
