Date,Filename,ExG
2016-09-23,06_02-2016_09_23-10_00-K1-10X.jpeg,-0.02858143919773655
2016-09-24,06_02-2016_09_24-10_00-K1-10X.jpeg,-0.045167718679590504
2016-09-26,06_02-2016_09_26-10_00-K1-10X.jpeg,-0.042145183196715744
2016-09-27,06_02-2016_09_27-10_00-K1-10X.jpeg,0.007879461967055214
2016-09-28,06_02-2016_09_28-10_16-K1-10X.jpeg,-0.01869181268444435
2016-09-29,06_02-2016_09_29-10_00-K1-10X.jpeg,-0.0425521782082674
2016-09-30,06_02-2016_09_30-10_00-K1-10X.jpeg,-0.043270140500889426
2016-10-01,06_02-2016_10_01-10_00-K1-10X.jpeg,-0.032580254899726616
2016-10-02,06_02-2016_10_02-10_00-K1-10X.jpeg,-0.020455306088466987
2016-10-03,06_02-2016_10_03-10_00-K1-10X.jpeg,-0.03812741002080956
2016-10-04,06_02-2016_10_04-10_00-K1-10X.jpeg,-0.04476453598113833
2016-10-05,06_02-2016_10_05-10_00-K1-10X.jpeg,-0.03262112939541859
2016-10-06,06_02-2016_10_06-10_00-K1-10X.jpeg,-0.038653643933773865
2016-10-07,06_02-2016_10_07-10_00-K1-10X.jpeg,-0.03593989268947419
2016-10-08,06_02-2016_10_08-10_00-K1-10X.jpeg,-0.031144906759310673
2016-10-09,06_02-2016_10_09-10_00-K1-10X.jpeg,-0.040842483078300504
2016-10-10,06_02-2016_10_10-10_00-K1-10X.jpeg,-0.03898134511814172
2016-10-11,06_02-2016_10_11-10_00-K1-10X.jpeg,-0.017451352357747855
2016-10-12,06_02-2016_10_12-10_00-K1-10X.jpeg,-0.03577859547359444
2016-10-13,06_02-2016_10_13-10_00-K1-10X.jpeg,-0.04349181093872793
2016-10-14,06_02-2016_10_14-10_00-K1-10X.jpeg,-0.048618479831820494
2016-10-15,06_02-2016_10_15-10_00-K1-10X.jpeg,-0.043630966986142654
2016-10-16,06_02-2016_10_16-10_00-K1-10X.jpeg,-0.041261394349753414
2016-10-17,06_02-2016_10_17-10_00-K1-10X.jpeg,-0.03534164566286116
2016-10-18,06_02-2016_10_18-10_00-K1-10X.jpeg,-0.018829167599545688
2016-10-19,06_02-2016_10_19-10_00-K1-10X.jpeg,-0.032526992697439285
2016-10-20,06_02-2016_10_20-10_00-K1-10X.jpeg,-0.03798550655831259
2016-10-21,06_02-2016_10_21-10_00-K1-10X.jpeg,-0.04575772203236597
2016-10-23,06_02-2016_10_23-10_27-K1-10X.jpeg,-0.029277362156069055
2016-10-24,06_02-2016_10_24-10_00-K1-10X.jpeg,-0.031019732910547847
2016-10-27,06_02-2016_10_27-10_00-K1-10X.jpeg,-0.019774645258967716
2016-10-28,06_02-2016_10_28-10_00-K1-10X.jpeg,-0.03128611781235221
2016-10-31,06_02-2016_10_31-10_00-K1-10X.jpeg,-0.03219210546013571
2016-11-01,06_02-2016_11_01-10_00-K1-10X.jpeg,-0.042829139441318734
2016-11-02,06_02-2016_11_02-10_00-K1-10X.jpeg,-0.03325431237226753
2016-11-03,06_02-2016_11_03-10_00-K1-10X.jpeg,-0.043743717959056544
2016-11-04,06_02-2016_11_04-10_00-K1-10X.jpeg,-0.018265987584510895
2016-11-05,06_02-2016_11_05-10_00-K1-10X.jpeg,-0.04072031389401591
2016-11-06,06_02-2016_11_06-10_00-K1-10X.jpeg,-0.04386956143544449
